,Location,Page_n,Title,Url,Date,Description,Clean_text
182,Świat,0,Powikłania po COVID-19. Silvio Berlusconi znów w szpitalu,https://www.tvp.info/53774167/wlochy-byly-premier-silvio-berlusconi-znowu-w-szpitalu-powodem-powiklania-po-covid-19,12.05.2021,"Były premier Włoch Silvio Berlusconi po raz kolejny w ciągu ostatnich tygodni trafił do szpitala z powodu powikłań po chorobie COVID-19, którą przeszedł w zeszłym roku – podały w środę media. Według nich do szpitala San Raffaele w Mediolanie Berlusconi przybył osłabiony.",ERROR
194,Świat,0,"Biden chwalony za walkę z COVID-19, krytykowany za migrację [SONDAŻ]",https://www.tvp.info/53762813/prezydent-usa-joe-biden-chwalony-za-walke-z-covid-19-krytykowany-za-migracje-sondaz-w-usa-dla-ap,12.05.2021,Według sondażu Associated Press i niezależnej organizacji badawczej NORC Center for Public Affairs Research prezydenta Joego Bidena popiera 63 proc. Amerykanów. Przypisuje się to zwłaszcza rezultatom w jego batalii z COVID-19.,ERROR
197,Świat,0,Koronawirus. Dochodzenie w sprawie reakcji brytyjskiego rządu na pandemię,https://www.tvp.info/53762190/koronawirus-dochodzenie-ws-reakcji-rzadu-borisa-johnsona-na-pandemie-covid-19,12.05.2021,Publiczne dochodzenie w sprawie działań rządu w reakcji na pandemię koronawirusa odbędzie się w trakcie bieżącej sesji parlamentu – oświadczył brytyjski premier Boris Johnson.,ERROR
199,Świat,0,Koronawirus. Z UE wyeksportowano około 200 mln dawek szczepionek,https://www.tvp.info/53762084/koronawirus-z-ue-wyeksportowano-okolo-200-mln-dawek-szczepionek-przeciw-covid-19,12.05.2021,"Z Unii Europejskiej wyeksportowano około 200 mln dawek szczepionek przeciwko COVID-19, czyli tyle samo, ile dostarczono do mieszkańców krajów członkowskich – przekazał wiceprzewodniczący Komisji Europejskiej Marosz Szefczovicz.",ERROR
214,Świat,1,Zwłoki w stanie rozkładu. Media: Z Gangesu wyłowiono dziesiątki ofiar COVID-19,https://www.tvp.info/53753902/koronawirus-indie-z-rzeki-ganges-wylowiono-dziesiatki-ludzkich-zwlok-media-to-ofiary-covid-19,11.05.2021,"Indyjscy urzędnicy twierdzą, że z rzeki Ganges wyłowiono minimum 40 ciał w stanie rozkładu. Nie jest jasne, w jaki sposób znalazły się one w wodzie, ale lokalne media sugerują, że mogą to być ofiary COVID-19 – podaje brytyjski portal BBC.",ERROR
230,Świat,2,Koronawirus. Szczepionka dla osób od 12. roku życia zatwierdzona,https://www.tvp.info/53743893/koronawirus-szczepionka-pfizerbiontech-przeciw-covid-19-dla-osob-od-12-roku-zycia-zatwierdzona-przez-fda,11.05.2021,Amerykańska Agencja ds. Żywności i Leków (FDA) zatwierdziła do użytku w nagłych wypadkach szczepionkę przeciwko koronawirusowi firm Pfizer/BioNTech dla osób niepełnoletnich od 12. roku życia.,ERROR
235,Świat,2,COVID-19 odpuszcza. W Anglii pierwsza doba bez żadnego zgonu,https://www.tvp.info/53742907/anglia-pierwsza-doba-bez-zadnego-zgonu-z-powodu-koronawirusa,10.05.2021,"Ani jednego zgonu z powodu Covid-19 nie odnotowano w ciągu minionej doby w Anglii, co jest pierwszym takim przypadkiem od 30 lipca i drugim od marca zeszłego roku, gdy epidemia dopiero się zaczynała – podał w poniedziałek brytyjski rząd.",ERROR
266,Świat,4,Media: Chiny przygotowywały się do wojny. Badały potencjał koronawirusów,https://www.tvp.info/53723908/koronawirus-chiny-przygotowywaly-sie-do-wojny-opartej-na-broni-biologicznej-donosi-daily-mail-badaly-potencjal-koronawirusow,9.05.2021,"Chiny badają od sześciu lat potencjał koronawirusów przygotowując się do wojny opartej na broni biologicznej. Tak wynika z dokumentów, do których dotarł brytyjski The Daily Mail. Doniesienia te korespondują z danymi zawartymi w pozyskanym przez Departament Stanu USA raporcie chińskiej armii z 2015 r.",ERROR
275,Świat,4,Coraz mniej zakażeń w Nowym Jorku. „Jest okazja do świętowania”,https://www.tvp.info/53720626/burmistrz-de-blasio-nowy-jork-jest-na-drodze-do-wyzdrowienia,9.05.2021,"W Nowym Jorku odsetek testów na obecność COVID-19 z pozytywnym wynikiem spadł w piątek do poziomu 2,41 proc. i był najniższy od pół roku. Burmistrz Bill de Blasio ocenił, że miasto jest na drodze do wyzdrowienia.",ERROR
288,Świat,5,Popularna włoska wyspa wolna od COVID-19,https://www.tvp.info/53714755/koronawirus-wloska-wyspa-capri-wolna-od-covid-19,8.05.2021,"Włoska wyspa Capri jest już wolna od COVID-19 – ogłosił tam w sobotę szef władz regionu Kampania Vincenzo De Luca. Zakończyło się tam szczepienie ludności. Wyspę zamieszkuje około 7 tys. osób. Szczepienia miały kluczowe znaczenie dla Capri, żyjącego z turystyki.",ERROR
299,Świat,5,Koronawirus we Włoszech. Tylko 13 proc. seniorów 80+ nie dostało jeszcze szczepionki,https://www.tvp.info/53703090/koronawirus-we-wloszech-seniorzy-80-zaszczepieni-w-87-procentach,8.05.2021,"We Włoszech 87 procent osób w wieku powyżej 80 lat otrzymało pierwszą dawkę szczepionki, a po dwóch dawkach jest prawie trzy czwarte seniorów – podało biura komisarza do spraw pandemii. W grupie wiekowej 70-79 lat pierwszą dawkę dostało ponad dwie trzecie osób, a dwie dawki – 14 proc.",ERROR
